Academic year beginning in Fall of:,Total UG enrollment,Total Enrollment,Total Employees,Enrollment + Employees,Calls (from academic year rpt),Calls / UG Enrollment,Calls / Total Enrollment,Calls/Total Enrollment + Employees
2010,3443,5878,,,800,0.232355504,0.136100715
2011,3667,6222,,,856,0.233433324,0.137576342
2012,3775,6478,,,771,0.204238411,0.119018216
2013,3885,6629,,,590,0.151866152,0.089002866
2014,3845,6621,,,624,0.162288687,0.094245582
2015,3839,6719,,,637,0.165928627,0.094805775
2016,3839,6855,3519,10374,640,0.166710081,0.093362509,0.061692693
2017,3933,7022,3723,10745,583,0.148232901,0.083024779,0.054257794
2018,3927,7080,3848,10928,650,0.165520754,0.09180791,0.059480234
2019,3942,7108,3803,10911,541,0.13723998,0.076111424,0.04958299
2020,4013,7257,3842,11099,248,0.061799153,0.034173901,0.022344355
2021,4202,7819,3775,11594,738,0.175630652,0.094385471,0.063653614
2022,4447,8272,4078,12350,913,0.205306949,0.11037234,0.073927126
2023,4528,8225,4371,12596,954,0.210689046,0.115987842,0.07573833
2025,4800,9100,5048,14548,1090,0.227083333,0.11978022,0.074924388