SE Event Name,SE Date,Borrowed Radios,Personnel with no radio,Notes,,,,,,,,,,,,,,,,,,,,,,
Football vs McNeese State,09/10/2022,3,3,,,,,,,,,,,,,,,,,,,,,,,
NASA Event,09/12/2022,3,1,,,,,,,,,,,,,,,,,,,,,,,
Football vs Louisiana Lafayette,09/17/2022,3,2,,,,,,,,,,,,,,,,,,,,,,,
Football vs UAB,10/01/2022,2,3,,,,,,,,,,,,,,,,,,,,,,,
NOD,10/15/2022,0,6,,,,,,,,,,,,,,,,,,,,,,,
Inauguration Weekend,10/20/2022,2,1,,,,,,,,,,,,,,,,,,,,,,,
-,10/21/2022,2,5,,,,,- add overnight ambulance radios,,,,,,,,,,,,,,,,,,
-,10/22/2022,2,8,,,,,,,,,,,,,,,,,,,,,,,
-,10/23/2022,2,0,,,,,,,,,,,,,,,,,,,,,,,
Kinkaid vs St. Johns Football Game,10/28/2022,0,4,,,,,,,,,,,,,,,,,,,,,,,
Football vs Charlotte,10/29/2022,0,3,,,,,,,,,,,,,,,,,,,,,,,
Football vs UTEP,11/03/2022,0,3,,,,,,,,,,,,,,,,,,,,,,,
Football vs UTSA,11/19/2022,0,3,,,,,,,,,,,,,,,,,,,,,,,
High School Football Game,12/10/2022,0,7,,,,,,,,,,,,,,,,,,,,,,,
Beer Bike,04/01/2023,3,9,,,,,,,,,,,,,,,,,,,,,,,
Commencement Weekend-,05/05/2023,1,4,,,,,,,,,,,,,,,,,,,,,,,
-,05/06/2023,1,8,,,,,,,,,,,,,,,,,,,,,,,
Football vs UH + Lovett Public,09/09/2023,6,7,,,,,,,,,,,,,,,,,,,,,,,
Football vs Texas Southern,09/16/2023,0,5,,,,,,,,,,,,,,,,,,,,,,,
Weekend Plan,09/30/2023,1,6,Reach for the stars + Volleyball vs UTSA + Football vs East Carolina,,,,,,,,,,,,,,,,,,,,,,
Football vs UCONN,10/07/2023,0,3,,,,,,,,,,,,,,,,,,,,,,,
NOD Weekend-,10/27/2023,0,4,Volleyball vs. East Carolina + St. Johns vs. Kinkaid High School Footbal,,,,,,,,,,,,,,,,,,,,,,
-,10/28/2023,4,10,Football vs. Tulane + Evening of Elegance + NOD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total=,35,,,,,,,,,,,,,,,,,,,,,,,,
,Average Extra Radio Demand per SE day =,1.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,From George,,,,,,,,,,,,,,,,,,,,,,,
Welcome Back Day,8/20/2022,,"IC team of 8 = 5 DC radios available (4 in spring with ICT), 2 for night DC, 1 for ambulance --> essentially any weekend night SE = need to borrow EMOCs",,,,,,,,,,,,,,,,,,,,,,,
Martel Don't Mess with Texas,8/27/2022,,I made a list of all the Fri/Sat evenings 22-23 academic year with events occurring after 9pm,,,,,,,,,,,,,,,,,,,,,,,
Lovett Music Festival,9/10/2022,,UNDERESTIMATE because,,,,,,,,,,,,,,,,,,,,,,,
Sid 80s,9/17/2022,,1. Not counting events that ended at around 6-9pm (aka dead radios = give ambulances EMOCs),,,,,,,,,,,,,,,,,,,,,,,
Diner en Blanc,9/24/2022,,2. 8pm shift change = more dead radios = give ambulances EMOCs,,,,,,,,,,,,,,,,,,,,,,,
Baker Christmas,9/24/2022,,3. Not counting the radios I borrowed from ICs who were not on duty/not going to jump calls,,,,,,,,,,,,,,,,,,,,,,,
McScottish Night,10/28/2022,,Underestimated so will hopefully help the argument that additional radios are needed for REMS --> need is actually even greater,,,,,,,,,,,,,,,,,,,,,,,
Football: Kinkaid vs St. John's,10/28/2022,,Count each evening as 1 borrowed? A little hard to tell,,,,,,,,,,,,,,,,,,,,,,,
Valhalloween,10/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Esperanza,11/4/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Architectronica,11/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,
Risky Business,1/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K,2/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs Louisiana Game 1,2/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,
University of St. Thomas Baseball,2/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Sensation,2/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Hanszen Halloween,3/4/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs HCU Game 1,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Rondolet,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,
University of St. Thomas Baseball,3/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs UTSA Game 1,3/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs LA Tech Game 1,4/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs LA Tech Double Header,4/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Public,4/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs Charlotte Game 1,4/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,
KTRU Outdoor Show,4/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Jones Public,4/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,
J. Fred Duckett Track Meet,4/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball vs DBU Game 1,4/28/2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
